epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.8375,1.19161,2.34783,0.98379,1.14143,0.83569,0.22931,0.23578,0.13011,0.78487,0.20621,0.21122,0.1215,1.5857,3.09203,1.14092,1.20722,0,0,0
2,34.6984,1.27656,2.50787,1.06971,1.18224,0.83666,0.23039,0.23578,0.13063,0.81494,0.21959,0.22388,0.1228,1.59083,3.10966,1.13433,1.21278,1.63399e-05,1.63399e-05,1.63399e-05
3,39.9734,1.27892,2.94527,1.04363,1.23049,0.83776,0.23144,0.23578,0.13074,0.81668,0.21984,0.22388,0.12277,1.58779,3.10278,1.12723,1.21164,3.20197e-05,3.20197e-05,3.20197e-05
4,43.4082,1.28506,2.58333,1.10565,1.18639,0.83835,0.23216,0.23577,0.13241,0.81674,0.21994,0.22388,0.12295,1.58675,3.09501,1.12113,1.20953,4.70394e-05,4.70394e-05,4.70394e-05
5,46.6589,1.39702,3.15821,1.29545,1.34141,0.83868,0.2325,0.23605,0.13247,0.81679,0.21997,0.22427,0.12305,1.58753,3.09326,1.11582,1.20762,6.13989e-05,6.13989e-05,6.13989e-05
6,50.7633,1.47102,3.21605,1.3652,1.31561,0.81787,0.23393,0.23605,0.14612,0.78241,0.22143,0.22873,0.12618,1.42849,2.8641,1.05044,1.1444,7.50984e-05,7.50984e-05,7.50984e-05
7,55.0849,1.26248,2.96311,1.17038,1.24653,0.77731,0.23393,0.23746,0.16217,0.8432,0.22018,0.22976,0.1385,1.20787,2.63822,0.98652,1.07704,8.81376e-05,8.81376e-05,8.81376e-05
8,59.1542,1.09685,2.31153,1.04207,1.10067,0.80146,0.24643,0.25405,0.174,0.80146,0.24643,0.25405,0.15003,0.9858,2.41674,0.94966,1.02234,0.000100517,0.000100517,0.000100517
9,62.5855,1.01878,2.18626,1.08784,1.07734,0.83721,0.23372,0.25412,0.1829,0.83721,0.23372,0.25412,0.15308,0.85629,2.21019,0.92666,0.98188,0.000112236,0.000112236,0.000112236
10,66.4227,1.05794,2.4371,1.08437,1.13345,0.70676,0.23826,0.24734,0.18124,0.70676,0.23826,0.24484,0.15741,0.82627,2.07814,0.91304,0.9725,0.000123295,0.000123295,0.000123295
11,70.2142,1.04843,2.29133,1.01784,1.1216,0.64008,0.21012,0.24371,0.18867,0.64008,0.21012,0.24371,0.15998,0.82552,2.00141,0.86522,0.98676,0.000133693,0.000133693,0.000133693
12,74.2649,1.0273,2.435,1.0098,1.09652,0.62984,0.22571,0.24669,0.19463,0.65654,0.23821,0.24957,0.16865,0.80131,1.95412,0.81517,0.99929,0.000143432,0.000143432,0.000143432
13,78.3845,0.80651,1.61788,0.81939,0.97715,0.64604,0.24643,0.25877,0.20515,0.67256,0.25893,0.26441,0.18394,0.78404,1.89365,0.75557,1.01986,0.00015251,0.00015251,0.00015251
14,83.162,0.86695,1.63994,0.87091,0.97252,0.72502,0.25372,0.2642,0.21231,0.75477,0.26422,0.27142,0.18573,0.82528,1.88297,0.7046,1.04943,0.000160929,0.000160929,0.000160929
15,85.6738,1.02661,2.83698,1.25977,1.26603,0.78194,0.26218,0.27145,0.205,0.78194,0.26218,0.27145,0.19032,0.87505,1.85439,0.70178,1.06964,0.000168687,0.000168687,0.000168687
16,88.0268,0.86258,2.06853,0.89315,1.01785,0.68941,0.27143,0.26826,0.20266,0.68941,0.27143,0.26826,0.1941,0.90221,1.78608,0.70162,1.07394,0.000175785,0.000175785,0.000175785
17,90.4162,0.90961,1.81477,0.87601,1.03322,0.70088,0.25826,0.26934,0.20637,0.70088,0.25826,0.26934,0.19916,0.8997,1.69832,0.70865,1.08959,0.000182223,0.000182223,0.000182223
18,93.082,0.95187,1.9336,0.85366,1.02404,0.70088,0.25826,0.26934,0.20637,0.70088,0.25826,0.26934,0.19916,0.8997,1.69832,0.70865,1.08959,0.000188001,0.000188001,0.000188001
19,95.5099,0.84483,1.63409,0.79714,0.99025,0.74486,0.24643,0.26823,0.20961,0.74486,0.24643,0.26823,0.19644,0.85311,1.57164,0.69982,1.06488,0.000193119,0.000193119,0.000193119
20,98.1246,0.96988,2.00732,0.87939,1.06814,0.74486,0.24643,0.26823,0.20961,0.74486,0.24643,0.26823,0.19644,0.85311,1.57164,0.69982,1.06488,0.000197576,0.000197576,0.000197576
21,101.547,0.79351,1.82604,0.85236,0.95639,0.68781,0.24731,0.2681,0.22054,0.68781,0.24731,0.2681,0.20497,0.80573,1.50992,0.69417,1.02493,0.000201374,0.000201374,0.000201374
22,105.158,0.76836,1.62564,0.84692,0.92023,0.68781,0.24731,0.2681,0.22054,0.68781,0.24731,0.2681,0.20497,0.80573,1.50992,0.69417,1.02493,0.000204511,0.000204511,0.000204511
23,108.965,0.78242,1.39948,0.77766,0.95745,0.68535,0.25462,0.26921,0.21699,0.68535,0.25462,0.26921,0.20976,0.79385,1.51795,0.69715,0.99292,0.000206988,0.000206988,0.000206988
24,112.538,0.74926,1.59052,0.76549,0.98993,0.68535,0.25462,0.26921,0.21699,0.68535,0.25462,0.26921,0.20976,0.79385,1.51795,0.69715,0.99292,0.000208805,0.000208805,0.000208805
25,115.819,0.80743,1.73893,0.79807,1.03373,0.78844,0.24643,0.2696,0.2198,0.78844,0.24643,0.2696,0.20224,0.7779,1.54755,0.6808,0.96508,0.000209962,0.000209962,0.000209962
26,119.848,0.86153,2.15148,0.88351,1.0366,0.78844,0.24643,0.2696,0.2198,0.78844,0.24643,0.2696,0.20224,0.7779,1.54755,0.6808,0.96508,0.000210459,0.000210459,0.000210459
27,123.991,0.77559,1.73448,0.7965,1.01818,0.79209,0.24643,0.26754,0.22337,0.79209,0.24643,0.26754,0.20008,0.76914,1.57697,0.66102,0.95127,0.000210295,0.000210295,0.000210295
28,127.39,0.78375,1.6901,0.7689,0.97429,0.79209,0.24643,0.26754,0.22337,0.79209,0.24643,0.26754,0.20008,0.76914,1.57697,0.66102,0.95127,0.000209472,0.000209472,0.000209472
29,131.099,0.87707,1.75614,0.82695,1.02321,0.8398,0.24495,0.26817,0.22137,0.8398,0.24495,0.26817,0.19797,0.76776,1.58982,0.64502,0.94746,0.000207988,0.000207988,0.000207988
30,135.466,0.71957,1.55246,0.77677,0.98682,0.8398,0.24495,0.26817,0.22137,0.8398,0.24495,0.26817,0.19797,0.76776,1.58982,0.64502,0.94746,0.000205844,0.000205844,0.000205844
31,138.831,0.70989,1.41376,0.72058,0.96555,0.83753,0.24537,0.26664,0.21923,0.83753,0.24537,0.26664,0.20148,0.75743,1.58767,0.63295,0.94077,0.000203041,0.000203041,0.000203041
32,142.998,0.8293,2.03877,0.8213,1.02327,0.83753,0.24537,0.26664,0.21923,0.83753,0.24537,0.26664,0.20148,0.75743,1.58767,0.63295,0.94077,0.000199577,0.000199577,0.000199577
33,148.316,0.81367,1.81711,0.75873,1.00134,0.80459,0.25668,0.26792,0.22087,0.80459,0.25668,0.26792,0.19501,0.76071,1.55824,0.62418,0.94133,0.000195452,0.000195452,0.000195452
34,151.561,0.69323,1.42844,0.69507,0.99347,0.80459,0.25668,0.26792,0.22087,0.80459,0.25668,0.26792,0.19501,0.76071,1.55824,0.62418,0.94133,0.000190668,0.000190668,0.000190668
35,155.737,0.82082,1.5915,0.78761,0.98189,0.80698,0.25791,0.26735,0.21489,0.80698,0.25791,0.26735,0.19544,0.76213,1.5205,0.63397,0.93934,0.000185224,0.000185224,0.000185224
36,157.967,0.65887,1.39715,0.68343,0.94317,0.80698,0.25791,0.26735,0.21489,0.80698,0.25791,0.26735,0.19544,0.76213,1.5205,0.63397,0.93934,0.000179119,0.000179119,0.000179119
37,163.497,0.72733,1.60104,0.72944,0.95714,0.80752,0.25734,0.26774,0.21634,0.80752,0.25734,0.26774,0.19364,0.80772,1.49133,0.65043,0.95864,0.000172354,0.000172354,0.000172354
38,166.492,0.68468,1.63539,0.73593,0.98467,0.80752,0.25734,0.26774,0.21634,0.80752,0.25734,0.26774,0.19364,0.80772,1.49133,0.65043,0.95864,0.00016493,0.00016493,0.00016493
39,170.782,0.83599,1.81828,0.82386,1.0384,0.80574,0.25459,0.26851,0.21125,0.80574,0.25459,0.26851,0.19587,0.84677,1.47851,0.66354,0.9787,0.000156845,0.000156845,0.000156845
40,175.864,0.72842,1.54885,0.71098,0.97839,0.80574,0.25459,0.26851,0.21125,0.80574,0.25459,0.26851,0.19587,0.84677,1.47851,0.66354,0.9787,0.0001481,0.0001481,0.0001481
